	control_S4	control_S5	control_S6	disease_S1	disease_S2	disease_S3
ENSMUSG00000100764	0.397146587447485	0.643584423935863	0.193717177182492	0.760474520865823	0.513585277526811	0.546400945345509
ENSMUSG00000100480	0.567352267782122	0.275821895972513	0.904013493518295	0.522826233095253	0.913040493380997	0.420308419496546
ENSMUSG00000100025	0.170205680334636	0.735525055926701	0.193717177182492	0.285177945324684	0.342390185017874	0.210154209748273
ENSMUSG00000051285	278.796904388135	239.229524440159	229.425710176464	219.491958584898	232.825325812154	203.008966616832
ENSMUSG00000103509	64.9050994342747	57.4628949942735	60.3106144961491	52.0449750217548	41.3150823254901	44.4265999407849
ENSMUSG00000097797	0.453881814225697	1.10328758389005	0.581151531547475	1.33083041151519	1.48369080174412	1.17686357459033
ENSMUSG00000026312	1.872262483681	0.275821895972513	0.516579139153311	2.13883458993513	1.76901595592568	0.4623392614462
ENSMUSG00000039748	1.02123408200782	0.275821895972513	0.258289569576656	3.84990226188323	1.99727607927093	2.35372714918066
ENSMUSG00000057363	24.1124713807402	24.4562081095628	24.5375091097823	29.3257987108883	31.8993522374986	26.2692762185341
ENSMUSG00000047216	600.542375447376	664.454947397783	630.032832589857	858.338085769744	1052.67862383745	784.673788358101
ENSMUSG00000102788	31.6582565422424	34.4777369965641	36.2896845255201	42.8242214562567	61.9726234882351	42.8714587886477
ENSMUSG00000102160	57.4727847263289	55.2563198264934	59.9877525341783	64.9730418764738	79.6057180166556	68.5102723779369
ENSMUSG00000100555	2.43961475146312	3.03404085569764	3.2286196197082	3.4221353438962	3.53803191185136	2.60591220087858
ENSMUSG00000038702	134.065340876915	128.533003523191	115.520009993159	165.688386233641	192.137958825863	145.258589778006
ENSMUSG00000101054	6.80822721338546	7.90689435121203	6.52181163181055	2.18636424748924	3.2527067576698	2.68997388477789
ENSMUSG00000055214	3.17717269957988	1.74687200782591	0.710296316335803	2.09130493238101	1.14130061672625	0.546400945345509
ENSMUSG00000070695	3.57431928702737	0.459703159954188	1.16230306309495	1.33083041151519	0.970105524217309	0.798585997043437
ENSMUSG00000025909	6.01393403849049	4.87285349551439	3.68062636646734	3.61225397411266	4.22281228188711	2.22763462333169
ENSMUSG00000102253	0.51061704100391	0.36776252796335	0.193717177182492	0.617885548203481	0.0570650308363123	0.168123367798618
ENSMUSG00000103933	0.624087494560334	0.275821895972513	0.193717177182492	0.570355890649367	0.399455215854186	0.630462629244819
ENSMUSG00000103411	0.283676133891061	0.275821895972513	0.516579139153311	0.760474520865823	0.342390185017874	0.756555155093782
ENSMUSG00000061024	9.02090105773573	13.7910947986256	16.4659600605118	10.7417026072298	5.36411289861335	10.339587119615
ENSMUSG00000025911	31.4880508619078	20.5027609339568	25.1186606413298	17.110676719481	11.0706159822446	27.9084790545706
ENSMUSG00000081441	0.170205680334636	0.36776252796335	0.387434354364983	0.142588972662342	0.114130061672625	0.126092525848964
ENSMUSG00000067879	0.0567352267782122	0	0.0645723923941639	0.427766917987025	0.285325154181561	0.4623392614462
ENSMUSG00000057335	204.303551628342	173.859735094674	161.818415339775	222.248678723037	245.26550253447	193.299842126461
ENSMUSG00000103634	7.60252038828043	5.97614107940444	5.87608770786892	9.64852048348513	10.8994208897356	7.22930481534059
