Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
0610005C13Rik	4	1	10	0	3	27	11	38	12	1	4	25	9	2	27
0610007N19Rik	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	249	94	126	746	186	180	357	461	301	890	143	251	240	156	200
0610008F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0610009B22Rik	145	45	93	272	131	141	161	256	200	388	77	155	87	93	137
0610009D07Rik	744	407	700	1759	712	924	1308	1953	1377	2477	586	1280	609	568	1060
0610009L18Rik	10	19	4	15	16	24	20	22	17	33	18	27	8	14	19
0610009O20Rik	698	334	382	1371	596	511	963	1180	977	1635	391	703	627	535	618
0610010B08Rik	14	9	10	16	12	14	40	37	34	26	15	11	9	10	7
0610010F05Rik	280	178	223	1199	522	411	590	768	516	472	364	500	277	306	351
0610010K14Rik	584	156	204	1079	326	345	464	579	442	1376	155	430	356	244	320
0610011F06Rik	135	78	67	317	123	131	153	208	145	506	131	218	107	120	136
0610012G03Rik	335	164	235	476	263	273	468	700	470	674	185	368	229	231	325
0610012H03Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	2192	1167	712	4578	1112	806	2026	2025	1711	3794	862	815	1719	1045	999
0610031J06Rik	1421	397	540	2104	444	578	915	1245	938	2767	380	588	1080	442	735
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	374	69	155	432	183	202	240	322	238	422	94	216	264	110	199
0610038B21Rik	8	11	11	4	9	17	11	15	17	3	7	17	10	7	11
0610038L08Rik	11	1	0	0	0	0	0	0	0	0	0	1	14	0	0
0610039K10Rik	62	0	4	1	2	14	8	9	6	0	2	11	76	0	9
0610040B10Rik	11	4	9	30	6	8	6	8	11	14	5	12	11	7	12
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
1100001G20Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1110001A16Rik	122	37	39	138	58	60	111	150	120	184	38	72	131	48	62
1110001J03Rik	63	19	37	132	73	68	67	111	95	252	40	98	63	24	44
1110002L01Rik	619	450	372	1183	525	484	766	887	726	981	505	493	517	558	537
1110004E09Rik	211	74	98	366	122	140	254	311	211	493	82	168	177	123	154
1110004F10Rik	1254	383	566	2478	911	814	1466	1979	1405	2461	560	1042	979	626	788
1110006O24Rik	19	13	11	32	6	6	12	27	16	47	3	17	15	10	16
1110007C09Rik	40	24	31	132	57	38	83	122	93	163	25	57	44	55	41
1110008F13Rik	1435	432	513	1516	834	694	1033	1607	1184	1985	544	904	1077	596	926
1110008J03Rik	60	37	41	168	83	67	124	168	136	204	47	76	39	57	73
1110008L16Rik	166	120	172	616	250	290	365	480	340	455	181	338	196	179	308
1110008P14Rik	221	138	186	325	127	146	186	304	204	401	93	141	156	126	226
1110012L19Rik	190	100	126	255	115	195	216	296	205	435	98	197	150	129	173
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	0	1	0	0	0	0	0	3	0	0	1	1	0	0	1
1110018G07Rik	1732	1478	1306	4161	1807	1406	2511	3188	2478	2431	1320	1481	1644	1631	2048
1110019D14Rik	34	19	21	39	13	24	45	61	40	44	23	42	25	20	41
1110020A21Rik	12	11	16	20	10	22	24	16	26	27	12	23	11	8	18
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	6	7	14	0	2	0	1	2	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	131	70	80	229	72	107	140	182	131	312	74	185	166	69	109
1110032F04Rik	4	2	11	80	32	30	40	50	27	23	9	43	15	15	29
1110034G24Rik	142	110	90	323	103	120	133	196	141	348	89	114	146	73	135
1110035M17Rik	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	2447	2236	2224	5500	3397	2898	6213	7213	5604	4297	2957	3401	2499	3277	3671
1110038B12Rik	193	36	83	800	162	133	191	285	199	607	85	155	165	55	110
1110038F14Rik	385	136	199	714	241	205	336	529	394	818	142	253	336	160	253
1110046J04Rik	2	0	0	3	0	0	1	0	0	0	0	0	0	1	0
1110051M20Rik	67	19	19	313	105	42	131	111	90	149	39	84	76	73	58
1110054M08Rik	35	14	11	70	15	17	18	21	9	50	8	21	17	8	7
1110057K04Rik	975	547	520	2299	823	730	1021	1288	1019	1997	606	756	746	575	695
1110058L19Rik	86	29	43	166	74	83	67	103	66	254	45	105	84	26	68
1110059E24Rik	251	167	209	595	257	288	407	557	347	649	236	329	201	183	319
1110059G10Rik	327	149	209	539	199	251	424	582	406	628	161	337	227	203	321
1110059M19Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
1110065P20Rik	86	39	68	176	78	70	93	143	113	183	36	73	53	29	78
1190002F15Rik	425	18	159	586	261	402	766	961	837	1731	208	620	444	288	474
1190002N15Rik	598	491	579	1868	1275	1073	3433	5076	3610	2351	1570	1729	799	1296	1309
1190003J15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	4	2	4	11	10	2	7	14	4	12	6	6	6	4	5
1190007I07Rik	71	59	58	213	75	65	98	140	99	215	57	102	56	49	46
1200011I18Rik	1175	908	832	3066	1520	1279	2121	2727	1992	1969	1192	1528	1264	1187	1283
1200014J11Rik	1692	956	1067	2922	1456	1244	3208	3967	2909	2814	1281	1491	1394	1404	1572
1300002E11Rik	3479	1847	940	2466	441	473	1496	1094	1184	1779	663	551	2039	623	788
1300002K09Rik	1	0	1	1	0	0	1	0	3	0	0	0	1	1	1
1300015D01Rik	0	0	1	0	0	0	1	0	3	1	1	0	0	0	1
1300017J02Rik	1	0	1	1	1	0	3	2	0	2	0	0	1	1	1
1300018J18Rik	1179	448	397	939	512	506	777	1011	748	1157	349	502	863	422	574
1500002O10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500004A13Rik	344	6	2	18	11	9	8	12	10	15	5	9	350	5	7
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	67	7	35	516	181	86	110	165	136	437	36	113	47	58	62
1500011B03Rik	185	119	110	359	124	148	208	295	272	456	117	185	224	124	157
1500011K16Rik	69	44	93	129	70	101	103	143	106	200	53	105	34	45	112
1500012F01Rik	450	115	369	1205	397	505	630	953	646	1268	274	600	444	175	532
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	157	119	179	177	74	151	163	238	163	240	70	173	138	101	141
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1500016L03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500017E21Rik	45	0	0	0	0	0	0	1	0	2	0	0	82	0	0
1500032L24Rik	769	329	580	1473	649	852	1125	1638	1210	2173	448	947	607	565	874
1600002D24Rik	57	43	38	21	10	11	9	12	15	15	14	16	14	17	26
1600002H07Rik	215	100	118	451	180	172	251	409	278	445	97	180	188	150	164
1600002K03Rik	86	23	48	147	57	63	65	120	96	205	40	59	53	34	73
1600010M07Rik	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
1600012H06Rik	1239	561	529	1084	505	467	817	1063	766	1053	411	514	742	539	679
1600014C10Rik	635	428	318	1500	631	553	452	564	504	1259	344	441	481	334	500
1600014C23Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1600014K23Rik	0	1	0	9	2	1	0	0	0	0	0	0	0	0	1
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik	19	12	12	48	9	8	25	17	15	48	10	8	31	13	17
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	451	212	311	454	215	308	603	808	607	634	250	330	301	252	433
1600023N17Rik	6	2	15	9	7	24	27	36	25	9	3	19	5	3	22
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029D21Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	8	1	2	21	4	4	8	2	0	6	2	6	18	3	4
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1700001D01Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	11	5	10	13	5	11	13	14	8	12	2	11	7	5	6
1700001G17Rik	6	12	49	21	7	64	23	37	27	7	11	41	8	6	44
1700001J03Rik	4	1	1	12	0	1	9	3	9	2	2	3	3	1	2
1700001J11Rik	18	23	12	58	39	30	44	60	63	27	35	24	18	33	42
1700001K19Rik	3	0	5	0	2	6	2	11	0	0	0	16	4	0	14
1700001K23Rik	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1700001L05Rik	37	17	17	61	36	15	95	70	70	33	29	21	21	26	23
1700001L19Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700001O22Rik	7	1	5	22	7	12	18	31	24	50	7	13	8	7	7
1700001P01Rik	1	2	10	15	7	8	13	17	15	2	4	6	1	8	9
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	2	0	1	0	0	0	0	0	0	0	0	0	8	0	0
1700003E16Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	7	5	4	0	0	3	7	7	5	8	3	0	3	2	6
1700003F17Rik	34	2	0	1	0	1	0	3	0	1	0	0	11	0	1
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700003M07Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700007G11Rik	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
1700007J10Rik	353	1	0	0	1	1	7	5	6	7	2	0	341	3	2
1700007K09Rik	0	0	0	2	0	1	1	1	0	2	1	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007L15Rik	20	25	48	33	20	37	48	55	36	25	23	59	16	22	42
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1700008I05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	38	8	13	53	23	22	37	60	41	44	7	27	46	19	17
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	2	0	2	9	0	3	1	3	1	2	2	5	3	2	5
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700009N14Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700009P17Rik	0	0	0	9	0	1	0	2	0	3	0	1	1	0	0
1700010B08Rik	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	191	117	103	302	126	134	217	243	209	294	108	167	131	124	205
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
1700011E24Rik	0	4	4	0	2	5	10	14	15	1	2	4	0	4	4
1700011H14Rik	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011J10Rik	73	52	25	146	40	43	90	75	80	160	47	80	65	39	51
1700011L22Rik	0	1	0	0	0	0	2	0	1	1	0	0	0	0	1
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
1700012B15Rik	322	150	149	415	102	127	357	451	312	520	120	203	239	172	239
1700012D01Rik	8	1	19	5	0	27	10	25	3	1	2	10	4	3	31
1700012D14Rik	15	15	25	12	17	22	29	26	27	10	17	28	8	18	22
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	1	0	0	1	4	6	2	4	1	0	1	2	1
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G23Rik	1	0	1	6	3	4	6	5	5	3	1	3	3	0	2
1700013G24Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016G22Rik	0	1	5	1	0	2	3	4	3	2	1	0	1	1	0
1700016H13Rik	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016L04Rik	1	0	0	1	1	2	0	4	1	1	0	1	0	0	2
1700016L21Rik	18	36	4	11	13	9	4	6	5	3	8	5	1	2	1
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	759	557	491	3325	1065	747	1448	1923	1315	4533	971	1227	985	1289	963
1700017D01Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	1	0	0	7	0	1	0	0	0	4	0	1	1
1700017J07Rik	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700018A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	40	0	3	5	3	6	11	5	6	4	1	3	43	1	2
1700019A02Rik	1	3	4	3	0	4	9	6	4	4	3	0	1	3	2
1700019B03Rik	0	0	1	2	1	0	1	6	0	0	1	0	0	1	2
1700019B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	0	10	11	1	5	7	6	9	4	1	5	1	0	7	5
1700019E08Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700019G17Rik	144	82	75	303	108	104	172	228	152	257	69	123	125	95	126
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019L03Rik	154	4	7	41	15	18	64	60	75	34	11	30	92	9	11
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700019O17Rik	13	4	11	9	5	7	12	23	14	18	4	7	12	10	11
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	58	49	23	92	33	19	46	54	46	50	33	24	47	33	29
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	540	979	859	1655	1066	896	2693	3066	2534	920	1023	964	501	970	1283
1700020L24Rik	7	1	4	15	3	3	21	21	8	12	2	15	2	1	5
1700020M21Rik	0	0	4	0	0	1	1	2	1	1	0	0	0	0	1
1700020N01Rik	1	1	0	2	0	2	1	0	0	0	0	1	0	1	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	2	1	1	3	4	0	0	0	0	1
1700021F05Rik	249	75	109	371	152	151	315	457	296	513	118	168	154	140	154
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700021K19Rik	497	287	303	983	491	437	1103	1236	1016	1139	394	469	443	591	468
1700021N21Rik	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0
1700022P22Rik	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0
1700023A16Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700023L04Rik	3	1	1	3	0	9	0	6	3	9	3	8	1	1	3
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13Rik	2	0	0	2	0	3	2	4	4	2	0	4	0	2	2
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P03Rik	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	4	1	2	0	2	4	0	0	1	0	4	4	0	1	2
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025E21Rik	0	1	0	1	2	5	0	7	3	0	3	5	0	1	1
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	274	87	175	614	259	222	779	980	815	699	153	312	284	173	296
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	2	1	1	0	1	1	1	1	0	2	0	3	2	0
1700026D08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
1700026D11Rik	0	4	5	1	3	9	17	24	14	0	4	5	2	3	13
1700026F02Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700026L06Rik	1	0	1	3	0	0	0	1	0	0	0	0	2	1	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700027I24Rik	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1
1700027J07Rik	4	4	2	3	4	1	3	6	6	3	3	3	5	3	2
1700028B04Rik	3	0	0	6	1	1	2	3	2	3	0	0	1	1	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	32	53	18	60	43	24	57	71	71	30	34	26	37	38	33
1700028I16Rik	1	1	0	2	0	1	0	0	0	1	0	2	0	0	0
1700028J19Rik	9	3	1	17	0	0	10	14	12	17	6	6	10	3	14
1700028K03Rik	69	12	8	0	0	4	25	11	22	2	8	3	58	11	11
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	3	0	1	0	1	2	2	1	0	2	1	0	0	0
1700029I15Rik	5	6	2	21	11	11	28	26	21	27	18	13	10	14	13
1700029J03Rik	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	13	7	15	56	16	20	36	46	37	16	5	27	10	10	18
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	9	40	5	75	41	43	10	26	32	33	34	29	9	25	6
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	8	5	16	26	6	18	26	44	30	30	15	18	11	23	18
1700030K09Rik	163	76	105	392	119	126	262	410	278	375	84	131	130	85	167
1700030L20Rik	1	2	2	0	0	0	1	1	0	0	0	1	0	1	1
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034F02Rik	4	7	12	23	10	11	22	25	21	7	10	14	9	13	13
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	6	0	1	4	1	2	2	6	5	3	5	3	3	1	7
1700034I23Rik	8	0	1	0	0	1	1	2	0	0	0	0	7	0	1
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	1	1	0	1	1	1	1	3	0	0	0	0
1700034P13Rik	54	0	3	8	1	2	6	2	4	2	1	4	66	3	3
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	33	44	37	102	38	37	51	69	60	111	35	48	31	23	48
1700037H04Rik	213	56	84	442	165	135	248	338	264	655	77	176	150	110	111
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	2	0	0	2	1	0	9	5	4	2	5	3	0	3	4
1700040N02Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	3	0	0	0	1	2	0	0	2	6	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045I19Rik	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047E10Rik	0	0	3	1	0	1	0	0	0	0	2	3	0	3	1
1700047G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700047I17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
1700048M11Rik	28	0	0	0	0	0	0	0	0	0	0	0	5	0	0
1700048O20Rik	35	6	2	106	23	17	28	38	25	131	12	30	46	16	18
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049G17Rik	137	106	92	317	215	129	289	333	264	91	160	151	117	129	145
1700049L16Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	156	233	316	236	147	248	371	526	346	268	126	256	159	167	335
1700052N19Rik	913	432	402	1553	672	530	1179	1536	1175	1977	622	665	839	628	694
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054O13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055N04Rik	3	1	0	1	0	0	0	0	0	3	0	0	3	4	0
1700056E22Rik	31	30	148	50	26	99	114	156	87	49	14	84	22	20	90
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
1700058G18Rik	72	0	1	3	0	0	0	0	0	4	0	0	38	0	2
1700060C16Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
