Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu05034:Alcoholism	28	2.380952381	6.79382E-07	HIST1H2AC, HIST1H2AF, HIST2H3C2, CAMKK2, H2AFV, HIST2H2AC, HIST1H2BJ, H2AFZ, HIST3H2A, H2AFX, HIST1H4C, HIST3H2BA, HIST1H4H, HIST1H2BF, H2AFJ, ATF4, HDAC3, HDAC1, MAPK3, HIST1H3A, HIST1H2AI, HIST1H3B, GNB5, HIST1H2AK, GNB3, HDAC8, HIST1H2AN, HIST1H3I	361	202	7691	2.953128	0.00017119	0.00017119	8.83685E-06
KEGG_PATHWAY	mmu05322:Systemic lupus erythematosus	21	1.785714286	1.5018E-05	HIST1H2AC, HIST1H2AF, HIST1H2BF, HIST2H3C2, H2AFJ, C8A, H2AFV, HIST2H2AC, HIST1H3A, HIST1H2BJ, HIST1H2AI, H2AFZ, HIST1H3B, HIST1H2AK, HIST3H2A, H2AFX, HIST1H4C, HIST3H2BA, HIST1H2AN, HIST1H4H, HIST1H3I	361	147	7691	3.043529877	0.003777414	0.001890494	0.000195325
KEGG_PATHWAY	mmu03410:Base excision repair	9	0.765306122	0.000164899	POLD3, POLL, MUTYH, NEIL3, POLD1, POLE, NEIL1, XRCC1, PARP2	361	35	7691	5.478353779	0.040706337	0.013757171	0.002142762
KEGG_PATHWAY	mmu04110:Cell cycle	17	1.445578231	0.000202025	CDC7, E2F2, FZR1, ANAPC13, CDC14B, PKMYT1, ESPL1, CDC20, CDC16, CDC25C, CDK2, CDC25B, CCNB2, CCND3, HDAC1, CDKN2D, ANAPC7	361	124	7691	2.920806898	0.049641059	0.012648214	0.002624608
KEGG_PATHWAY	mmu03460:Fanconi anemia pathway	10	0.850340136	0.000517782	SLX4, APITD1, POLH, TOP3A, MLH1, PMS2, FANCG, FANCA, ATRIP, UBE2T	361	51	7691	4.177393949	0.122356642	0.025765255	0.006714025
KEGG_PATHWAY	mmu00240:Pyrimidine metabolism	14	1.19047619	0.000734054	POLR2G, POLR1D, PNP2, POLE, DCK, RRM2B, CMPK1, POLD3, PRIM1, NME3, UPRT, POLD1, NT5C2, ENTPD5	361	100	7691	2.98265928	0.168936962	0.030370854	0.009506058
KEGG_PATHWAY	mmu04114:Oocyte meiosis	14	1.19047619	0.00211485	SPDYA, CCNB2, ANAPC13, MAPK3, PPP2R5C, FBXO43, PKMYT1, CDC20, AURKA, ESPL1, ANAPC7, CDC16, CDC25C, CDK2	361	112	7691	2.663088643	0.413455338	0.073383231	0.027161791
KEGG_PATHWAY	mmu04914:Progesterone-mediated oocyte maturation	12	1.020408163	0.00231892	SPDYA, FZR1, CCNB2, ANAPC13, MAPK3, PKMYT1, ANAPC7, CDC16, CDC25C, CDK2, CDC25B, PIK3R2	361	87	7691	2.938580571	0.442919988	0.070520754	0.029746381
KEGG_PATHWAY	mmu03430:Mismatch repair	6	0.510204082	0.002973999	POLD3, MSH6, MSH3, POLD1, MLH1, PMS2	361	22	7691	5.81037522	0.527900015	0.080013289	0.038000325
KEGG_PATHWAY	mmu04932:Non-alcoholic fatty liver disease (NAFLD)	16	1.360544218	0.006595733	SREBF1, TRAF2, NDUFB11, NDUFB7, NDUFA13, ADIPOQ, NDUFA11, NDUFV3, SDHB, ATF4, GSK3A, XBP1, NDUFS8, NDUFS2, EIF2AK3, PIK3R2	361	157	7691	2.171180549	0.811306338	0.153599851	0.082475942
